ID,Nom_Entreprise,Adresse_Complete
1,Fondation Zinsou,"Rue des Missions, Ouidah, Benin"
2,Hotel du Lac,"Avenue du Lac, Cotonou, Benin"
3,Stade de l'Amitié Mathieu Kérékou,"Route de l'aéroport, Cotonou, Benin"
4,Marché Dantokpa,"Boulevard St Michel, Cotonou, Benin"
5,Erevan Supermarché,"Rue 397, Cotonou, Benin"
6,Musée Honmè,"Avenue El-Hadj-Omar-Bongo-Ondimba, Porto-Novo, Benin"
7,Palais Royal de Porto-Novo,"Rue de l'inspection, Porto-Novo, Benin"
8,Centre Songhaï,"BP 597, Porto-Novo, Benin"
9,Place de l'Étoile Rouge,"Cotonou, Benin"
10,Port Autonome de Cotonou,"Zone portuaire, Cotonou, Benin"
11,Bénin Royal Hôtel,"Boulevard de la Marina, Cotonou, Benin"
12,Hall des Arts Loisirs et Sports,"Avenue Jean-Paul II, Cotonou, Benin"
13,Restaurant Le Hublot,"Route de l'aéroport, Cotonou, Benin"
14,CBEEX (Bourse du Coton),"Place des Martyrs, Cotonou, Benin"
15,Stade Charles de Gaulle,"Porto-Novo, Benin"
16,Musée ethnographique de Porto-Novo,"Porto-Novo, Benin"
17,Hôtel La Casa del Papa,"Route des pêches, Ouidah, Benin"
18,Musée en Plein Air de Parakou,"Parakou, Benin"
19,Grand Marché de Parakou,"Parakou, Benin"
20,Ambassade de France au Bénin,"Avenue de la Marina, Cotonou, Benin"
